set_id,set_name,pieces,verdict,go_location,aspect,go_value,server_value,classic_value,notes
897,Scourgelord's Battlegear,4 pieces,false_positive,,Advantage damage buff,,3% for 15 sec,3% for 15 sec,effect2=6 is a dummy effect
890,Shadowblade's Battlegear,2 pieces,false_positive,,Tricks of the Trade energy,,-100% cost + 15 energy,15 energy,effect1=100 is the cost removal
882,Shiny Shard of the Gods,2 pieces,false_positive,sim/common/wotlk/item_sets.go:74,proc chance / ICD,25% / 50s,25% / 50s (spell_proc 69739),not stated in tooltip,Healing proc uses the same values (:113-114)
831,Siegebreaker Plate,4 pieces,false_positive,sim/warrior/items.go:82,Shield Block magic damage reduction,,20% for 5 sec,20%,Duration not in tooltip; sim NYI (comment says 10%)
682,Skyshatter Harness,4 pieces,false_positive,,Stormstrike AP buff,,70 AP for 12 sec,70 AP for 12 sec,effect1=100 is class-script override amount
684,Skyshatter Regalia,2 pieces,false_positive,,Totemic Mastery stats,,19 mp5 / 35 crit rating / 45 SP,19 mp5 / 35 crit rating / 45 SP,Same values (38437)
671,Tempest Regalia,2 pieces,false_positive,,Evocation duration,,+2 sec,+2 sec,ms vs sec formatting
826,Terrorblade Battlegear,2 pieces,false_positive,,Deadly Poison energy,,1 energy,1 energy,bp 0 = 1
873,Thassarian's Plate,4 pieces,false_positive,,UA/VB/Bone Shield CD,,-10 sec,-10 sec,ms vs sec formatting
873,Thassarian's Plate,2 pieces,false_positive,,Dark Command CD / Blood+Heart Strike damage,,-2 sec / 5%,-2 sec / 5%,ms vs sec formatting
719,The Fists of Fury,2 pieces,real,sim/common/tbc/melee_sets.go:33,Fire proc PPM,2.0 PPM,1.5 PPM (spell_proc 41989),not stated in tooltip,Damage 100-150 matches
699,The Twin Blades of Azzinoth,2 pieces,real,sim/common/tbc/melee_sets.go:138,Haste proc PPM,1.0 PPM,2 PPM (spell_proc 41434),not stated in tooltip,450 haste / 10 sec / 45s ICD match
863,Thrall's Regalia,2 pieces,false_positive,,Flame Shock duration,,+9 sec,+9 sec,ms vs sec formatting
677,Thunderheart Regalia,2 pieces,false_positive,,Moonfire duration,,+3 sec,+3 sec,ms vs sec formatting
630,Tidefury Raiment,2 pieces,false_positive,sim/shaman/chain_lightning.go:34,Chain Lightning jump damage loss,0.83 multiplier,0.7 x 1.19 = 0.833 (loses 16.7%),loses 17%,Rounding
877,Turalyon's Battlegear,2 pieces,real,sim/paladin/talents.go:589,Righteous Vengeance tick crit damage,MeleeCritMultiplier (~2x),+100% crit bonus spellmod on RV 61840 (melee dmg class) => ~3x,not stated in tooltip,67188 effect2 = ADD_PCT_MODIFIER CRIT_DAMAGE_BONUS 100; crit roll itself at talents.go:601
879,Turalyon's Plate,2 pieces,false_positive,,Hand of Reckoning CD / HotR damage,,-2 sec / 5%,-2 sec / 5%,ms vs sec formatting
879,Turalyon's Plate,4 pieces,false_positive,,Divine Protection CD / Forbearance,,-30 sec,-30 sec,ms vs sec formatting
782,Undead Slayer's Blessed Armor,2 pieces,false_positive,,Damage vs undead,,1%,1%,bp 0 = 1%
849,Velen's Regalia,2 pieces,false_positive,,Vampiric Touch duration,,+6 sec,+6 sec,ms vs sec formatting
859,Windrunner's Battlegear,4 pieces,false_positive,sim/hunter/wotlk_items.go:102,proc chance / ICD,35% / 45s,35% / 45s (spell_proc 67151),not stated in tooltip,Pet 600 AP for 15s (68130) matches :101
860,Windrunner's Pursuit,4 pieces,false_positive,sim/hunter/wotlk_items.go:102,proc chance / ICD,35% / 45s,35% / 45s (spell_proc 67151),not stated in tooltip,Pet 600 AP for 15s (68130) matches :101
867,Wrynn's Battlegear,2 pieces,false_positive,,Stance crit / ArP,,2% crit / 6% ArP,2% crit / 6% ArP,effect3=25 is an EFFECT3 mod on Intimidating Shout (fear speed); irrelevant to sim
869,Wrynn's Plate,2 pieces,false_positive,,Taunt CD / Devastate damage,,-2 sec / 5%,-2 sec / 5%,ms vs sec formatting
869,Wrynn's Plate,4 pieces,false_positive,,Shield Block CD,,-10 sec,-10 sec,ms vs sec formatting
896,Ymirjar Lord's Plate,4 pieces,false_positive,sim/warrior/items.go:114,Bloodrage health cost / absorb,,no health cost; absorb 20% max HP (effect2),no health cost; absorb 20%,effect1=100 is cost removal; sim NYI
850,Zabra's Regalia,2 pieces,false_positive,,Vampiric Touch duration,,+6 sec,+6 sec,ms vs sec formatting
